doc_id,tier,category,title,issuer,url,referer,expected_type,filename,license,redistribute,effective_from,effective_to,review_expiry,doc_type,product,generation,must_contain,must_not_contain,sessions,purpose,traits,synthetic_degraded,hash_strip,sha256,bytes,notes
sonsa_silson_std_2024,core,보험,실손의료보험약관(2024.12.20. 시행) 한컴 PDF,제3자 게시본,https://www.sonsakorea.com/global/gbl_upload/download.asp?filepath=B2C%5CBoard&filename=%EC%8B%A4%EC%86%90%EC%9D%98%EB%A3%8C%EB%B3%B4%ED%97%98%EC%95%BD%EA%B4%80(2024.12.20.%EC%8B%9C%ED%96%89).pdf,,pdf,sonsa_silson_std_2024.pdf,제3자 재게시본,no,2024-12-20,,,표준약관,실손의료보험,4세대,공제금액|통원,,"2,4,5,6",인덱싱-연혁본,한컴PDF|공백소실|개정이력21회,false,,6ee00934a5baa7c6ba0c0dc29c724bd6542214770ce201512dfcff0481addb04,1294119,"4세대(2024.12.20 시행) 연혁본. 정본(법제처)은 현재 5세대로 갱신돼 4세대 본문은 이 게시본이 유일 → 버전 비교 문항의 4세대 근거로 인덱싱. 제3자(손해사정 학원) 재게시본이므로 출처 표기는 '보험업감독업무시행세칙 별표15(2024.12.20 시행), 제3자 게시본'. 한컴 PDF 공백 소실 재현 샘플이기도 함. Content-Type 비어 있어 매직바이트 판별 필요"
abl_cancer_2404,core,보험,인터넷암보험Ⅲ(갱신형) 약관,ABL생명,https://www.abllife.co.kr/cms/pban/prdtPban/whlPrdt/__icsFiles/afieldfile/2024/04/01/NP_ABL인터넷암보험Ⅲ(갱신형)_약관(240401).pdf,,pdf,abl_cancer_2404.pdf,ABL생명 저작권,no,2024-04-01,,,약관,암보험,,납입면제|90일,,"2,3,4,5,6",인덱싱,CID깨짐|대용량12MB|미답변형,false,,19cf6f9d06d826d1d62416bda51bc88387499470b1957085416068eed2d96f47,12060709,184p 중 6쪽 1곳 CID 깨짐(0.5%) → 페이지 단위 깨진문자 비율 임계 캘리브레이션. Q14·Q15 근거
hanacard_std_2017,core,카드,신용카드 개인회원 표준약관(2017.04),하나카드,https://www.hanacard.co.kr/ATTACH/WWW/pdf/provision/creditcard_standard_agreement_170401.pdf,,pdf,hanacard_std_2017.pdf,하나카드/공정위 표준약관,no,2017-04-01,,,표준약관,신용카드,,제31조|일부결제금액이월,,"2,3,4,6",인덱싱,유사문장세트|조항번호형,false,,1b5e5feaf5d331a2cc593409a30ef781e7ad30f2390eeb4027e44516dd97ee8c,341749,21p. 제31조 일부결제금액이월약정. sc_card_std_2021 과 조문 구조 동일
sc_card_std_2021,core,카드,신용카드 개인회원 표준약관(2021.09),SC제일은행,https://www.standardchartered.co.kr/hp/cms/hp/pdf/a_credit_standard_2109.pdf,,pdf,sc_card_std_2021.pdf,SC제일은행/공정위 표준약관,no,2021-09-01,,,표준약관,신용카드,,제31조,,"2,3,4,6",인덱싱,유사문장세트|비교형,false,,eb5784fab8b8722ed95e4a6183bba492e86e5ee93e54fbfe4777fa843c107106,1135785,33p. 유사 상품 비교 문항의 짝
hanacard_diff_2016,core,카드,신용카드 표준약관 개정대비표(2016.06),하나카드,https://www.hanacard.co.kr/images/terms/creditcard_standard_agreement_table_160601.pdf,,pdf,hanacard_diff_2016.pdf,하나카드 저작권,no,2016-06-01,,,개정대비표,신용카드,,,,"2,4",인덱싱,3단병합셀|표붕괴,false,,7a77299c05a3716d4a416a4eae60e40a6ca6bb316eaae9652b6c270891238565,611573,pdfplumber 가 열 전체를 한 셀로 인식 → 표 특화 파서 벤치마크
kb_card_annex_2008,core,카드,신용카드 부속약관(2008),KB국민카드,http://img2.kbstar.com/obj/card/download/agreement2.pdf,,pdf,kb_card_annex_2008.pdf,KB국민카드 저작권,no,2008-01-01,,,부속약관,신용카드,,,제31조,"4,6",네거티브,제31조없음,false,,81bfd6a4d39653ec03d89d8657f57823cce3798eeea86c0dee5d6c22d5c9f42c,122954,3p. 유사 문장 세트에서 제외해야 하는 문서(오검색 유발 대조군)
kbcard_rates_html,core,카드,상품공시실 금리 안내(HTML 스냅샷),KB국민카드,https://m.kbcard.com/SVC/DVIEW/MKAM0842,,html,kbcard_rates.html,KB국민카드 저작권,no,2026-02-03,,,공시,신용카드,,5.60~19.95|8.60~19.90|3.90~18.90,,"3,5,6",인덱싱-스냅샷,범위답변형|as_of필수,false,,0b59f5eca751222468b1e1fee84bb7b3851cc9abac90768dba344dcfb173b0e2,182504,현금서비스 5.90~19.95 / 할부 8.60~19.90 / 카드론 3.90~18.90 / 리볼빙 5.60~19.95. Q10 근거
kbcard_overseas_html,core,카드,해외이용 종합안내(HTML 스냅샷),KB국민카드,https://card.kbcard.com/SVC/DVIEW/HSDMCXPRIBMC0043?mainCC=b,,html,kbcard_overseas.html,KB국민카드 저작권,no,,,,이용안내,신용카드,,전신환매도율|해외서비스,,"3,5",인덱싱-스냅샷,3단산식|계산형,false,,11d5e2d78488bbc350a7425fefc21f7d16676fde720919fbffbbede4907d99d9,283060,전신환매도율·브랜드 1.0~1.4%·해외서비스 0.25%. Q8 근거
kbcard_delinquency_html,core,카드,연체이자율 안내(HTML 스냅샷),KB국민카드,https://card.kbcard.com/SVC/DVIEW/HSHMCXCRSZZC0015,,html,kbcard_delinquency.html,KB국민카드 저작권,no,,,,이용안내,신용카드,,정상이자율|법정최고,,"3,5",인덱싱-스냅샷,법정최고|대체규칙,false,,9ffb5c9e014cce107ef21c42df1bc444acd680dbc17b367c86406da52e94b7fb,180793,"정상이자율+3%p, 법정최고 20% 캡. Q11 근거"
kbstar_deposit_2021,core,예적금,KB Star 정기예금 핵심설명서(2021.03),KB국민은행,http://img2.kbstar.com/obj/ocommon/20210427_kbstar.pdf,,pdf,kbstar_deposit_2021.pdf,KB국민은행 저작권,no,2021-03-01,,2023-02-01,상품설명서,정기예금,,중도해지|만기후,,"2,3,4,5,6",인덱싱,표수치형|만료본|메타데이터불신,false,,e54f414b84fb0114cc7ca826952590e0ed73f1d759b82ae9f6af9c1da449d046,293930,중도해지이율 표 50~90%. PDF Title 메타가 다른 상품명(템플릿 재사용) → 메타데이터를 믿지 않는 근거
kakao_deposit_2026_pdf,core,예적금,카카오뱅크 정기예금 상품설명서(2026.07.03 시행),카카오뱅크,https://og.kakaobank.io/download/4cd30d65-4f96-41a6-9779-a1a467048ac6,,pdf,kakao_deposit_2026.pdf,카카오뱅크 저작권,no,2026-07-03,,,상품설명서,정기예금,,,,"3,4,5,6",인덱싱,시행일형|버전비교,false,,5d3a9ddcbf5e6e26d436775b9f592c222253634ece6968f332b88aa2cfec21e0,512625,robots Disallow → 스크립트는 이 파일 1건만 저빈도 요청
kakao_deposit_2026_txt,core,예적금,같은 설명서 TXT 판본,카카오뱅크,https://og.kakaobank.io/download/a54b880c-d635-418e-9074-97a3376ab76f,,text,kakao_deposit_2026.txt,카카오뱅크 저작권,no,2026-07-03,,,상품설명서,정기예금,,중도해지,,"2,3",파싱우회,텍스트정본,false,,bc594780c36413f3ffbed26658cf26d4b6bb031919d7794881b94dbba8df871e,15616,파싱 없이 즉시 투입 가능 → 파서 품질과 무관한 대조군
kakao_deposit_special_2019,core,예적금,특별판매 정기예금 상품설명서(2019.07.16),카카오뱅크,https://og.kakaobank.io/download/378f334b-0300-45ee-9673-4a83ded79f12,,pdf,kakao_deposit_special_2019.pdf,카카오뱅크 저작권,no,2019-07-16,,,상품설명서,정기예금,,,,"4,5,6",인덱싱,만료본|버전비교,false,,0c7b43c524ce73c628726266cc847a40373c104008755f1d281adb6f27519e6a,312587,현행본과 짝지어 '만료본만 있을 때 경고 문구' 시연
kakao_deposit_terms_2024,core,예적금,카카오뱅크 정기예금 특약(2024.10.17),카카오뱅크,https://og.kakaobank.io/download/7af58579-dbcd-4b73-9ca1-7c0ec30cda46,,pdf,kakao_deposit_terms_2024.pdf,카카오뱅크 저작권,no,2024-10-17,,,특약,정기예금,,,,"3,4",인덱싱,약관vs설명서,false,,6f28f10c37032d261925655df30f7de654312f32aec5fdb399d364f8ed5f4c2f,167986,같은 상품의 doc_type 이 다른 문서 → Self-Query doc_type 필터 실습
shinhan_orakssil_2025,core,예적금,오락실적금 상품설명서,신한은행,https://img.shinhan.com/sbank2016/seol/20250929000000630003LC000030.PDF,,pdf,shinhan_orakssil_2025.pdf,신한은행 저작권,no,2025-09-29,,2026-11-30,상품설명서,적금,,중도해지|차감,,"4,5",인덱싱,산식형태A|해석불확실|계산형,false,,fd098e9ce280cc00781e5e8acc3ee04933704e2c536d92b7a8850eb0c11682ee,328404,"기본이자율×(1-차감률 80%)×경과월수/계약월수, 최저 0.10%. 계약기간 50~56일이라 '월수' 해석 불확실 → 확인요청 분기 사례"
nh_jangbyeong_2026,core,예적금,장병내일준비적금 상품설명서,NH농협은행,https://img.nonghyup.com/file/ebank/product/guide/10000961_pi.pdf,,pdf,nh_jangbyeong_2026.pdf,NH농협은행 저작권,no,2026-03-03,,2028-02-29,상품설명서,적금,,장병내일준비적금|절사|중도해지,,"4,5,6",인덱싱,산식형태B|절사규칙|비과세|계산형,false,,0995c0718acebefe7d153b2259fa7cfeb3fe79e165b80305355039019e49589d,572747,"구간별 50/60/70/80%, 소수 셋째자리 절사, 월 미만 버림, 원미만 절사. Q1·Q2·Q4 근거"
fss_deposit_terms_2024_pdf,core,예적금,예금거래기본약관(2024.09.27. 개정) PDF,금융감독원,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200503&atchFileId=9184193e4d6845c4961958d8dc6de78f&fileSn=2&bbsId=,,pdf,fss_deposit_terms_2024.pdf,"금감원 저작권(교육 인용 허용, 배포 금지)",no,2024-09-27,,,표준약관,예금거래,,,,"2,3,4",인덱싱,정상텍스트|기준문서,false,,649b0815d3529ab5245ab9a91f5362f99068d89aebe3bfe15bda8235e3927a7e,264905,정상 텍스트 PDF 계층의 기준선
fss_deposit_terms_2022_hwpx,core,예적금,예금거래 기본약관('22.12월 개정) HWPX,금융감독원,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200503&atchFileId=471f4eb0374e4e269c39e8b10585d6db&fileSn=1&bbsId=,,zip,fss_deposit_terms_2022.hwpx,"금감원 저작권(교육 인용 허용, 배포 금지)",no,2022-12-01,,,표준약관,예금거래,,,,"2,3",사람검토큐,미지원형식|버전비교,false,,7704bfadd851249c62c6afbb03dfa1c6e49e5338229828c79e7d613b423608f0,213904,같은 약관의 구버전인데 PDF 가 없음 → 형식 때문에 버전 비교가 막히는 실제 사례
fss_credit_terms_2024_pdf,core,대출,은행여신거래기본약관(가계용)(2024.09.27. 개정) PDF,금융감독원,https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200503&atchFileId=8d74354fc5d84fee9b38f74b54142189&fileSn=2&bbsId=,,pdf,fss_credit_terms_2024.pdf,"금감원 저작권(교육 인용 허용, 배포 금지)",no,2024-09-27,,,표준약관,여신거래,,,,"2,3,4",인덱싱,정상텍스트|기준문서,false,,e5533e8ce9fa693af1eb75798063ce32fb12c617fe2a8f8a1f8e7579a0c4a7c8,257839,하나은행 사행본과 비교 가능한 표준 원본
woorisb_rotating_html,core,예적금,회전정기예금 상품안내(HTML 스냅샷),우리금융저축은행,https://m.woorisavingsbank.com/product/deposite/view.do?prdSn=323,,html,woorisb_rotating.html,우리금융저축은행 저작권,no,,,,상품설명서,정기예금,,월복리|중도해지,,5,인덱싱-스냅샷,월복리|단리|계산형,false,,ff3d668cf428fb8fb338fd3cb81c43258d42f388daf27ca147854e51b76d4080,48783,검토 표본 내 월복리 산식이 명시된 유일 출처. 중도해지 0.3%/50/55/60%. Q5 근거
hana_credit_terms_2009,core,대출,여신거래기본약관(가계용) 2009.12.16 판,하나은행,https://image.kebhana.com/cont/download/documents/provide/a000000000097_20091216.pdf,,pdf,hana_credit_terms_2009.pdf,하나은행 저작권,no,2009-12-16,,,약관,여신거래,,,,"2,3,4",인덱싱,ezPDFGate|파서라우팅|버전비교,false,,62fa0f541172bb255a067cef53f7e47794b34b1e16bb7f6fdba95005d28811b4,346736,"pypdf 한글 0자 / PyMuPDF 6,874자 → 파서 라우팅의 핵심 근거 문서"
hana_credit_terms_2013,core,대출,여신거래기본약관(가계용) 2013.07.01 판,하나은행,https://image.kebhana.com/cont/download/documents/provide/b000003061031_20130701.pdf,,pdf,hana_credit_terms_2013.pdf,하나은행 저작권,no,2013-07-01,2024-10-16,,약관,여신거래,,,,"4,5,6",인덱싱,시행일SelfQuery|버전비교,false,,fbcc372e694c1e731041c23ad62d84849468eb8de2963e5c298954789fd81e46,106514,시행일 필터 3판본 세트 중 중간본
hana_credit_terms_2024,core,대출,여신거래기본약관(가계용) 2024.10.17 판,하나은행,https://image.kebhana.com/cont/download/documents/provide/b000003061031_20241017.pdf,,pdf,hana_credit_terms_2024.pdf,하나은행 저작권,no,2024-10-17,,,약관,여신거래,,,,"4,5,6",인덱싱,시행일SelfQuery|현행본,false,,0c56712d2c77bce1bdb9b2f005718f837096df9e1d1d2174664ce106c6bd444d,131360,'현재 기준' 질문의 정답 판본
hana_credit_terms_2024_table,core,대출,여신거래기본약관 개정대비표 2024.10.17,하나은행,https://image.kebhana.com/cont/download/documents/provide/b000003061031_20241017_table.pdf,,pdf,hana_credit_terms_2024_table.pdf,하나은행 저작권,no,2024-10-17,,,개정대비표,여신거래,,,,"4,6",인덱싱,3단병합셀|개정대비,false,,ff1e06a085f89d1e89bfd1307d0024b598a2048ede68ae52e327785d7465e9b5,302487,무엇이 바뀌었는지 묻는 문항의 근거
hana_household_loan_2014,core,대출,가계대출 상품설명서(2014.04),하나은행,https://image.kebhana.com/cont/download/documents/provide/b000005060618_20140401.pdf,,pdf,hana_household_loan_2014.pdf,하나은행 저작권,no,2014-04-01,,,상품설명서,가계대출,,,,"2,3,5",인덱싱,빈칸서식11개|값누락|사람검토큐,false,,0fbb28b5d91ed4548e908f78d57c6e062ecd6821c288d1196425d6f92ac428a0,149758,'( )%' 빈칸 → 값 누락 시 미답변/확인요청 분기 시연
hana_mortgage_2025,core,대출,주택담보대출 상품설명서(2025.01.13 개정),하나은행,https://image.kebhana.com/cont/download/documents/manual/0000005060901_20250113_m.pdf,,pdf,hana_mortgage_2025.pdf,하나은행 저작권,no,2025-01-13,,,상품설명서,주택담보대출,,"466,666|467,518|중도상환",,"4,5,6",인덱싱,계산형|절사|윤년|연체상한15%,false,,44d93b0e70935d8a942f003ee27fea2335683974c0e97c29dc7d29269fa27b18,650495,"중도상환해약금 예시 466,666원 / 윤년 467,518원. 개편 전 요율 1.4% 예시 유지. Q6 근거"
im_household_2025,core,대출,가계대출 상품설명서(2025.04),iM뱅크,https://www.imbank.co.kr/upload/newbbs/FNM001/202603111540088535253011.pdf,,pdf,im_household_2025.pdf,iM뱅크 저작권,no,2025-04-01,,2027-03-31,상품설명서,가계대출,,"498,630|803,333",,"4,5,6",인덱싱,계산형|상한파라미터누락|금소법19조,false,,9071f0b9b82af578c564d8b88a5633d907d9738eed5c809d4d119b70959fbe3f,451678,"1억×1.0%×182/365=498,630, 연체 3,333+800,000=803,333, 연체 상한 공란. Q7 근거"
im_mortgage_2024,core,대출,주택담보대출 상품설명서(2024.10),iM뱅크,https://www.imbank.co.kr/upload/newbbs/FNM001/202411110928278485002813.pdf,,pdf,im_mortgage_2024.pdf,iM뱅크 저작권,no,2024-10-17,,2026-09-30,상품설명서,주택담보대출,,"500,000|인지세",,"4,5",인덱싱,계산형|PUA기호|문자정규화|심의필임박,false,,c32ee402c383f4f5fd08aa2a16e350841f2c3e38142712508ffa20c56b79ac57,394613,"1억×1.5%×365/1095=500,000 예시. 보충평면 PUA 기호 → 유니코드 정규화 실습"
sf_realestate_loan_2026,core,대출,부동산담보대출 상품설명서,삼성화재,https://www.samsungfire.com/download/loan/guide_re.pdf,,pdf,sf_realestate_loan_2026.pdf,삼성화재 저작권,no,2026-08-24,,,상품설명서,부동산담보대출,,"200,000|중도상환",,"4,5,7",인덱싱,계산형|갱신감지|면제형옵션,false,,3d64c7ca1b1ce355c85e7c262d741d7b136564053d9948bcc7096079c98b9983,576774,"14p Word 원본. 예시 200,000원. 실제로 갱신되는 문서 → ETag/해시 diff 로 재인제스천 시연"
kdic_faq_html,manual,FAQ,예금자보호제도 FAQ(HTML 스냅샷),예금보험공사,https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do,,html,kdic_faq.html,무단 복제·배포 금지,no,2025-09-01,,,FAQ,예금자보호,,,,"3,5,6",인덱싱-스냅샷,조건형|미답변형,false,,,,FAQ 17문항이 JS 로 렌더링되어 정적 요청으로는 내비게이션만 받힌다(2026-09-07 확인). 필요하면 브라우저에서 저장. 무단 복제·배포 금지이므로 개인 스냅샷만.
fss_case_001,core,사례,금융분쟁조정사례 1,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=1&menuNo=201195,,html,fss_case_001.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",인덱싱,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",3b92a6abbf2d3c2f0d83611cca4bf5534a2293a2f4f9b9b219cb990b1a696813,661726,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
fss_case_002,core,사례,금융분쟁조정사례 2,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=2&menuNo=201195,,html,fss_case_002.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",인덱싱,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",a1ecbe198b672e8e30b2c28bcd17cea23d86be305b6dbf654cb0f6034d0cfb2b,661474,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
fss_case_003,core,사례,금융분쟁조정사례 3,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=3&menuNo=201195,,html,fss_case_003.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",인덱싱,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",599f87d5d5a3b453edfc5e2a1cb8dec2d3050d98d31307cc2f4ec6350c227224,661396,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
fss_case_004,core,사례,금융분쟁조정사례 4,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=4&menuNo=201195,,html,fss_case_004.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",인덱싱,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",81f2871c2042e10ad82662fc60caa1e2540351ca531ee2ba9e1c918c7215d723,661172,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
fss_case_005,core,사례,금융분쟁조정사례 5,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=5&menuNo=201195,,html,fss_case_005.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",인덱싱,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",7e13a8146872e7acdd6007eeefcbade83d4b94fb4808bf79252db80668c2c6b1,661723,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
fss_case_006,core,사례,금융분쟁조정사례 6,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=6&menuNo=201195,,html,fss_case_006.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",홀드아웃,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",2d18b5c141e01e75ad89af414d6b6ecc1c62a3aaffa5dc697bae7616a68c934c,662425,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
fss_case_007,core,사례,금융분쟁조정사례 7,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=7&menuNo=201195,,html,fss_case_007.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",홀드아웃,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",444686d04ce77570a22120eca0fce3a2db7419f1a155dfd1ac629a7eab9403c2,661505,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
fss_case_008,core,사례,금융분쟁조정사례 8,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=8&menuNo=201195,,html,fss_case_008.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",홀드아웃,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",13afa4d9beabdb367f98cebd449757f45c893a37faf8aa37577a99b6e8cc0753,662335,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
fss_case_009,core,사례,금융분쟁조정사례 9,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=9&menuNo=201195,,html,fss_case_009.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",홀드아웃,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",fe7f6ae14cb5e94084ff508a480e35af48ebdf45c387a4c380e00694475a2d65,661905,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
fss_case_010,core,사례,금융분쟁조정사례 10,금융감독원,https://www.fss.or.kr/fss/job/fncCnflCase/view.do?caseSlno=10&menuNo=201195,,html,fss_case_010.html,금감원 저작권(교육 인용 허용),no,,,,분쟁조정사례,,,민원내용|쟁점|처리결과,,"1,3,6",홀드아웃,복합형|판단유보형|4단구조,false,"조회수\s*[\d,]+",6bd829155d84d56d14bc45b571ca0181291983e50090fc047b3b559d5c337f78,662272,민원내용/쟁점/처리결과/유의사항 4단 HTML 본문
degraded_hana_mortgage_2025,derived,열화재현,하나은행 주담대 설명서 2~3p 300dpi 래스터화본,(로컬 생성),local:scripts/make_degraded.py --src hana_mortgage_2025 --pages 2-3 --dpi 300,,pdf,degraded_hana_mortgage_2025.pdf,"원문과 동일(로컬 파생물, 배포 금지)",no,,,,상품설명서,주택담보대출,,,,"2,3",OCR경로,열화재현|텍스트0,true,,,,실제 스캔 약관이 드물어 OCR 경로 검증용으로 생성. 반드시 synthetic_degraded 로 표기하고 평가 지표에서 실데이터와 분리
